path,pred,conf,margin,dst,archived_from_unlabeled_to
..\Data\Rest Ungelabelt\cefbef91fb0c45be9748651584c8f040.jpeg,Bewegungsdaten,0.932009756565094,0.864019513130188,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\cefbef91fb0c45be9748651584c8f040.jpeg,..\Work\moved_from_rest_ungelabelt\cefbef91fb0c45be9748651584c8f040.jpeg
..\Data\Rest Ungelabelt\cd5e54ec656847a9a63efbdf83e02411.png,Bewegungsdaten,0.9291766881942749,0.8583533242344856,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\cd5e54ec656847a9a63efbdf83e02411.png,..\Work\moved_from_rest_ungelabelt\cd5e54ec656847a9a63efbdf83e02411.png
..\Data\Rest Ungelabelt\f64dd85888344aad9447e2d859242bfa.png,Bewegungsdaten,0.926091194152832,0.8521824106574059,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\f64dd85888344aad9447e2d859242bfa.png,..\Work\moved_from_rest_ungelabelt\f64dd85888344aad9447e2d859242bfa.png
..\Data\Rest Ungelabelt\ac1e2dab5ef6427ea4524f84b4e38776.jpeg,Bewegungsdaten,0.9260826110839844,0.852165199816227,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\ac1e2dab5ef6427ea4524f84b4e38776.jpeg,..\Work\moved_from_rest_ungelabelt\ac1e2dab5ef6427ea4524f84b4e38776.jpeg
..\Data\Rest Ungelabelt\9d3e7e97c5f14960b5e7f8e81c0de092.png,Data Mart,0.9952296018600464,0.9904591403901577,..\Data\SAP mit Pseudo Labels\Data Mart\9d3e7e97c5f14960b5e7f8e81c0de092.png,..\Work\moved_from_rest_ungelabelt\9d3e7e97c5f14960b5e7f8e81c0de092.png
..\Data\Rest Ungelabelt\6c1ab9ce941b409389c92e8644a50298.png,Data Mart,0.9781908988952637,0.95638183131814,..\Data\SAP mit Pseudo Labels\Data Mart\6c1ab9ce941b409389c92e8644a50298.png,..\Work\moved_from_rest_ungelabelt\6c1ab9ce941b409389c92e8644a50298.png
..\Data\Rest Ungelabelt\9d7af6f6c674461e84ac31a367c11240.png,Data Mart,0.9778302311897278,0.9556604065001011,..\Data\SAP mit Pseudo Labels\Data Mart\9d7af6f6c674461e84ac31a367c11240.png,..\Work\moved_from_rest_ungelabelt\9d7af6f6c674461e84ac31a367c11240.png
..\Data\Rest Ungelabelt\cba8df0d40d14ce2a57a96b9efd623a3.png,Data Mart,0.9709750413894653,0.941950149834156,..\Data\SAP mit Pseudo Labels\Data Mart\cba8df0d40d14ce2a57a96b9efd623a3.png,..\Work\moved_from_rest_ungelabelt\cba8df0d40d14ce2a57a96b9efd623a3.png
..\Data\Rest Ungelabelt\6ccceb302a204cc587cca8b80d1f78bc.png,Data Mart,0.9698612093925476,0.9397224262356758,..\Data\SAP mit Pseudo Labels\Data Mart\6ccceb302a204cc587cca8b80d1f78bc.png,..\Work\moved_from_rest_ungelabelt\6ccceb302a204cc587cca8b80d1f78bc.png
..\Data\Rest Ungelabelt\0b9736e2ea9e48ac8f2d8d96308a209e.jpeg,Data Mart,0.9692817330360413,0.9385634828358889,..\Data\SAP mit Pseudo Labels\Data Mart\0b9736e2ea9e48ac8f2d8d96308a209e.jpeg,..\Work\moved_from_rest_ungelabelt\0b9736e2ea9e48ac8f2d8d96308a209e.jpeg
..\Data\Rest Ungelabelt\821c97c31e95434a83ce9ed8f56b45de.png,Data Mart,0.9609178304672241,0.9218356721103191,..\Data\SAP mit Pseudo Labels\Data Mart\821c97c31e95434a83ce9ed8f56b45de.png,..\Work\moved_from_rest_ungelabelt\821c97c31e95434a83ce9ed8f56b45de.png
..\Data\Rest Ungelabelt\3bbc4b11c87d438cb54dbe237801a51f.jpeg,Data Mart,0.9551365375518799,0.9102731049060822,..\Data\SAP mit Pseudo Labels\Data Mart\3bbc4b11c87d438cb54dbe237801a51f.jpeg,..\Work\moved_from_rest_ungelabelt\3bbc4b11c87d438cb54dbe237801a51f.jpeg
..\Data\Rest Ungelabelt\eb0e7e1bc0594bd089788dd7930c49d1.jpeg,Data Mart,0.9527473449707031,0.905494712293148,..\Data\SAP mit Pseudo Labels\Data Mart\eb0e7e1bc0594bd089788dd7930c49d1.jpeg,..\Work\moved_from_rest_ungelabelt\eb0e7e1bc0594bd089788dd7930c49d1.jpeg
..\Data\Rest Ungelabelt\56ec83bb7f644c2aba39b30710b1bae8.jpeg,Data Mart,0.9509893655776978,0.9019787274301052,..\Data\SAP mit Pseudo Labels\Data Mart\56ec83bb7f644c2aba39b30710b1bae8.jpeg,..\Work\moved_from_rest_ungelabelt\56ec83bb7f644c2aba39b30710b1bae8.jpeg
..\Data\Rest Ungelabelt\479c839341ad45788a63455f36aa6cc4.png,Data Mart,0.9493414759635925,0.8986829146742821,..\Data\SAP mit Pseudo Labels\Data Mart\479c839341ad45788a63455f36aa6cc4.png,..\Work\moved_from_rest_ungelabelt\479c839341ad45788a63455f36aa6cc4.png
..\Data\Rest Ungelabelt\76d4dad51aa242688d36b251457f3c6a.png,Data Mart,0.9484551548957825,0.896910298615694,..\Data\SAP mit Pseudo Labels\Data Mart\76d4dad51aa242688d36b251457f3c6a.png,..\Work\moved_from_rest_ungelabelt\76d4dad51aa242688d36b251457f3c6a.png
..\Data\Rest Ungelabelt\77d319132bfe4b62a4f96c264705cd1b.jpeg,Data Mart,0.9470615386962891,0.894123051315546,..\Data\SAP mit Pseudo Labels\Data Mart\77d319132bfe4b62a4f96c264705cd1b.jpeg,..\Work\moved_from_rest_ungelabelt\77d319132bfe4b62a4f96c264705cd1b.jpeg
..\Data\Rest Ungelabelt\be4158b4443d450ca6cedb92e636ce86.jpeg,Data Mart,0.9468912482261658,0.8937824815511703,..\Data\SAP mit Pseudo Labels\Data Mart\be4158b4443d450ca6cedb92e636ce86.jpeg,..\Work\moved_from_rest_ungelabelt\be4158b4443d450ca6cedb92e636ce86.jpeg
..\Data\Rest Ungelabelt\40304f4e3e284a76aeead9dc2de90bb9.jpeg,Data Mart,0.9427044987678528,0.8854090310633183,..\Data\SAP mit Pseudo Labels\Data Mart\40304f4e3e284a76aeead9dc2de90bb9.jpeg,..\Work\moved_from_rest_ungelabelt\40304f4e3e284a76aeead9dc2de90bb9.jpeg
..\Data\Rest Ungelabelt\dac8ee49886140a3bfade41865319c4d.png,Data Mart,0.938680112361908,0.8773602321743965,..\Data\SAP mit Pseudo Labels\Data Mart\dac8ee49886140a3bfade41865319c4d.png,..\Work\moved_from_rest_ungelabelt\dac8ee49886140a3bfade41865319c4d.png
..\Data\Rest Ungelabelt\412419738f134eaf85847c2aa562e321.png,Data Mart,0.9368002414703369,0.8736005574464798,..\Data\SAP mit Pseudo Labels\Data Mart\412419738f134eaf85847c2aa562e321.png,..\Work\moved_from_rest_ungelabelt\412419738f134eaf85847c2aa562e321.png
..\Data\Rest Ungelabelt\c5438804963a473390b7e508a8612816.png,Data Mart,0.9344630837440491,0.8689261451363564,..\Data\SAP mit Pseudo Labels\Data Mart\c5438804963a473390b7e508a8612816.png,..\Work\moved_from_rest_ungelabelt\c5438804963a473390b7e508a8612816.png
..\Data\Rest Ungelabelt\f44b27b3420b444699a97583a81816f8.jpeg,Data Mart,0.9310544729232788,0.8621089160442352,..\Data\SAP mit Pseudo Labels\Data Mart\f44b27b3420b444699a97583a81816f8.jpeg,..\Work\moved_from_rest_ungelabelt\f44b27b3420b444699a97583a81816f8.jpeg
..\Data\Rest Ungelabelt\cb33f465fc924cf68bf7133e6e5ba765.png,Data Mart,0.9292428493499756,0.8584857434034348,..\Data\SAP mit Pseudo Labels\Data Mart\cb33f465fc924cf68bf7133e6e5ba765.png,..\Work\moved_from_rest_ungelabelt\cb33f465fc924cf68bf7133e6e5ba765.png
..\Data\Rest Ungelabelt\de281b58e2ef4279a8ac0dd247144b48.jpeg,Data Mart,0.9284642934799194,0.8569286018610001,..\Data\SAP mit Pseudo Labels\Data Mart\de281b58e2ef4279a8ac0dd247144b48.jpeg,..\Work\moved_from_rest_ungelabelt\de281b58e2ef4279a8ac0dd247144b48.jpeg
..\Data\Rest Ungelabelt\e1ee63d76b7b47beafe1a85b156eb835.png,Data Mart,0.922569990158081,0.8451399803161621,..\Data\SAP mit Pseudo Labels\Data Mart\e1ee63d76b7b47beafe1a85b156eb835.png,..\Work\moved_from_rest_ungelabelt\e1ee63d76b7b47beafe1a85b156eb835.png
..\Data\Rest Ungelabelt\684f094533e24e35a9ad79046fb5408c.png,Data Mart,0.9220147132873535,0.8440294489264488,..\Data\SAP mit Pseudo Labels\Data Mart\684f094533e24e35a9ad79046fb5408c.png,..\Work\moved_from_rest_ungelabelt\684f094533e24e35a9ad79046fb5408c.png
..\Data\Rest Ungelabelt\2d9ace484299402e86b875fff8114044.png,Data Mart,0.9190360307693481,0.8380720764398575,..\Data\SAP mit Pseudo Labels\Data Mart\2d9ace484299402e86b875fff8114044.png,..\Work\moved_from_rest_ungelabelt\2d9ace484299402e86b875fff8114044.png
..\Data\Rest Ungelabelt\4b6aeafe558748fc83fc9616edfab610.png,Data Mart,0.9180537462234497,0.8361075446009636,..\Data\SAP mit Pseudo Labels\Data Mart\4b6aeafe558748fc83fc9616edfab610.png,..\Work\moved_from_rest_ungelabelt\4b6aeafe558748fc83fc9616edfab610.png
..\Data\Rest Ungelabelt\478f7ddf09804c21af1af25822913392.png,Data Mart,0.9134731888771057,0.8269464150071144,..\Data\SAP mit Pseudo Labels\Data Mart\478f7ddf09804c21af1af25822913392.png,..\Work\moved_from_rest_ungelabelt\478f7ddf09804c21af1af25822913392.png
..\Data\Rest Ungelabelt\b2709c06374b4badbac288709aabb368.jpeg,Data Mart,0.9094775319099426,0.8189550414681435,..\Data\SAP mit Pseudo Labels\Data Mart\b2709c06374b4badbac288709aabb368.jpeg,..\Work\moved_from_rest_ungelabelt\b2709c06374b4badbac288709aabb368.jpeg
..\Data\Rest Ungelabelt\84eaf696cb714cc5a477e3d6aa7205fc.png,Data Mart,0.9077478051185608,0.8154955580830574,..\Data\SAP mit Pseudo Labels\Data Mart\84eaf696cb714cc5a477e3d6aa7205fc.png,..\Work\moved_from_rest_ungelabelt\84eaf696cb714cc5a477e3d6aa7205fc.png
